model,newsqa,adversarial_hotpotqa,adversarial_squad,musique,squad
rl-plain,0,0,1,0,0
t5l-plain,1,1,0,1,1
t5l-adapter,2,3,3,2,2
t5l-lora,3,4,5,4,4
t5b-plain,4,8,9,6,6
t5b-adapter,5,9,10,9,8
rl-adapter,6,2,2,5,3
bertlc-plain,7,6,12,7,7
t5b-lora,8,14,14,11,11
rb-plain,9,7,11,8,5
optl-plain,10,5,4,3,12
bertbc-plain,11,12,18,14,10
bertlc-adapter,12,19,16,15,14
optb-plain,13,10,8,10,15
optl-lora,14,15,7,18,17
optl-adapter,15,13,6,17,16
rb-adapter,16,17,17,13,13
rl-lora,17,11,13,12,9
bertbc-adapter,18,20,22,19,19
optb-adapter,19,16,15,21,20
optb-lora,20,18,19,20,21
rb-lora,21,21,20,16,18
bertlc-lora,22,22,21,22,22
bertbc-lora,23,23,23,23,23
