Model,snli,matmnli,mnli,taxinli,snli-bt,snli-cf,snli_hard,hans,conjnli,pmonli
bertbc-adapter-895K,85.1\pm0.1,65.1\pm0.1,68.0\pm0.1,64.7\pm0.1,80.0\pm0.1,68.5\pm0.1,71.0\pm0.2,50.0\pm0.0,52.2\pm0.7,91.7\pm1.1
bertbc-lora-592K,81.3\pm0.2,59.2\pm0.5,61.1\pm0.1,54.6\pm0.6,76.6\pm0.2,64.2\pm0.3,65.7\pm0.5,50.0\pm0.0,49.1\pm1.4,85.9\pm0.5
bertbc-plain,90.6\pm0.1,73.5\pm0.4,73.6\pm0.2,73.4\pm0.1,84.3\pm0.2,76.1\pm0.2,80.2\pm0.1,58.1\pm1.2,58.6\pm0.6,95.1\pm0.3
bertlc-adapter-3.17M,88.8\pm0.2,72.8\pm0.8,73.2\pm0.8,72.8\pm1.0,83.1\pm0.2,73.3\pm0.2,77.3\pm0.3,50.3\pm0.4,56.7\pm1.1,96.1\pm0.3
bertlc-lora-1.58M,86.2\pm0.4,68.3\pm0.5,69.2\pm0.7,67.7\pm1.5,80.9\pm0.1,69.3\pm0.4,73.1\pm0.6,50.1\pm0.2,54.3\pm1.5,94.7\pm1.2
bertlc-plain,91.1\pm0.1,76.6\pm0.1,76.2\pm0.3,76.5\pm0.4,84.7\pm0.1,77.4\pm0.3,81.7\pm0.2,58.1\pm1.2,61.1\pm0.8,97.6\pm0.4
rb-adapter-895K,88.3\pm0.1,75.8\pm0.6,75.9\pm0.3,74.4\pm0.2,83.0\pm0.0,72.9\pm0.2,76.1\pm0.2,50.3\pm0.1,54.8\pm0.6,95.1\pm0.1
rb-lora-1.18M,87.1\pm0.0,73.6\pm0.0,74.9\pm0.1,72.3\pm0.3,81.8\pm0.0,71.8\pm0.2,75.2\pm0.1,50.1\pm0.0,52.2\pm0.9,94.4\pm0.2
rb-plain,91.4\pm0.0,80.2\pm0.2,79.9\pm0.2,80.1\pm0.2,85.2\pm0.1,77.9\pm0.1,82.1\pm0.1,65.9\pm2.0,60.8\pm0.4,96.6\pm0.2
rl-adapter-3.17M,91.7\pm0.0,83.8\pm0.4,83.0\pm0.4,83.9\pm0.1,85.4\pm0.0,79.9\pm0.5,82.4\pm0.1,67.8\pm1.4,61.4\pm0.2,98.5\pm0.1
rl-lora-2.63M,90.8\pm0.1,81.7\pm0.4,81.8\pm0.2,81.1\pm0.5,84.5\pm0.1,78.8\pm0.2,81.0\pm0.1,65.3\pm0.8,58.5\pm0.9,98.0\pm0.2
rl-plain,92.6\pm0.0,85.0\pm0.0,84.3\pm0.1,85.0\pm0.1,85.7\pm0.0,81.3\pm0.2,84.7\pm0.0,73.7\pm1.0,65.5\pm0.3,98.5\pm0.1
optb-adapter,82.8\pm3.0,56.7\pm1.8,57.5\pm1.9,55.2\pm3.7,77.5\pm2.8,66.7\pm2.4,68.6\pm3.1,52.3\pm3.3,49.2\pm4.3,88.4\pm2.3
optb-lora-1.57M,78.1\pm3.7,53.8\pm1.5,55.7\pm2.3,52.8\pm1.1,72.4\pm4.0,63.2\pm2.3,65.0\pm2.9,50.4\pm0.6,47.4\pm1.9,86.6\pm3.1
optb-plain,89.6\pm0.1,71.3\pm0.7,72.9\pm0.9,71.3\pm0.9,83.7\pm0.2,74.5\pm0.3,78.8\pm0.1,59.1\pm4.2,57.5\pm0.3,95.6\pm0.8
optl-adapter,88.6\pm0.2,66.6\pm1.3,69.2\pm0.8,66.0\pm2.1,81.9\pm0.5,73.4\pm0.3,77.5\pm0.2,61.7\pm6.8,55.4\pm1.0,90.9\pm1.5
optl-lora-3.15M,83.6\pm2.2,63.5\pm3.6,65.0\pm3.4,60.7\pm4.7,78.0\pm2.5,69.5\pm1.2,71.4\pm2.1,60.1\pm2.3,56.7\pm3.1,91.9\pm3.0
optl-plain,90.4\pm0.4,75.5\pm0.4,77.3\pm0.3,75.4\pm0.3,84.1\pm0.3,76.5\pm0.8,80.7\pm0.5,65.8\pm0.6,60.7\pm1.3,95.2\pm2.0
t5b-adapter-1.79M,88.6\pm0.0,80.1\pm0.1,80.3\pm0.1,80.3\pm0.3,82.9\pm0.0,74.8\pm0.2,77.7\pm0.1,60.2\pm0.1,64.0\pm0.9,94.6\pm0.4
t5b-lora-1.77M,85.8\pm0.0,80.6\pm0.4,80.9\pm0.3,80.6\pm0.5,80.7\pm0.2,72.8\pm0.2,74.1\pm0.3,57.2\pm0.7,65.2\pm0.7,92.1\pm0.8
t5b-plain,89.7\pm0.1,81.4\pm0.1,80.9\pm0.2,81.2\pm0.1,83.7\pm0.1,75.9\pm0.2,79.5\pm0.1,63.3\pm0.3,65.2\pm0.9,95.3\pm0.3
t5l-adapter-6.34M,91.8\pm0.0,86.2\pm0.1,85.5\pm0.3,86.6\pm0.4,85.4\pm0.1,80.3\pm0.3,82.7\pm0.1,68.2\pm1.1,66.0\pm0.1,98.1\pm0.2
t5l-lora-4.72M,90.5\pm0.0,87.5\pm0.1,87.5\pm0.3,87.8\pm0.3,84.2\pm0.0,79.4\pm0.1,81.0\pm0.1,64.7\pm0.1,66.3\pm0.5,98.1\pm0.1
t5l-plain,92.1\pm0.1,87.3\pm0.1,86.8\pm0.2,87.9\pm0.2,85.5\pm0.0,81.0\pm0.2,83.3\pm0.1,71.6\pm0.6,67.2\pm0.3,98.0\pm0.1
Avg,88.2\pm3.8,74.4\pm9.6,75.0\pm8.8,73.8\pm10.4,82.3\pm3.5,74.1\pm5.1,77.1\pm5.5,59.3\pm7.7,58.6\pm6.0,94.5\pm3.8
